# e60_m1_r3.0_l784-30-10.txt
2017-02-19 23:04:37.817416

num hidden layers : 1
layers            : [784, 30, 10]
learning rate     : 3.0
mini-batch size   : 1
epochs            : 60

########################################
Epoch 0: 8474 / 10000
Epoch 1: 8063 / 10000
Epoch 2: 8425 / 10000
Epoch 3: 8816 / 10000
Epoch 4: 8806 / 10000
Epoch 5: 8908 / 10000
Epoch 6: 8932 / 10000
Epoch 7: 8871 / 10000
Epoch 8: 8785 / 10000
Epoch 9: 8913 / 10000
Epoch 10: 8994 / 10000
Epoch 11: 8919 / 10000
Epoch 12: 8885 / 10000
Epoch 13: 8958 / 10000
Epoch 14: 8931 / 10000
Epoch 15: 8886 / 10000
Epoch 16: 8969 / 10000
Epoch 17: 8828 / 10000
Epoch 18: 8978 / 10000
Epoch 19: 8923 / 10000
Epoch 20: 9030 / 10000
Epoch 21: 9113 / 10000
Epoch 22: 8914 / 10000
Epoch 23: 9015 / 10000
Epoch 24: 9086 / 10000
Epoch 25: 9104 / 10000
Epoch 26: 8962 / 10000
Epoch 27: 8944 / 10000
Epoch 28: 9084 / 10000
Epoch 29: 8925 / 10000
Epoch 30: 8991 / 10000
Epoch 31: 9050 / 10000
Epoch 32: 9040 / 10000
Epoch 33: 9114 / 10000
Epoch 34: 9068 / 10000
Epoch 35: 9125 / 10000
Epoch 36: 9006 / 10000
Epoch 37: 8989 / 10000
Epoch 38: 9170 / 10000
Epoch 39: 8947 / 10000
Epoch 40: 9087 / 10000
Epoch 41: 9096 / 10000
Epoch 42: 9016 / 10000
Epoch 43: 9102 / 10000
Epoch 44: 9157 / 10000
Epoch 45: 9095 / 10000
Epoch 46: 9085 / 10000
Epoch 47: 9090 / 10000
Epoch 48: 9099 / 10000
Epoch 49: 9137 / 10000
Epoch 50: 9120 / 10000
Epoch 51: 9127 / 10000
Epoch 52: 9163 / 10000
Epoch 53: 9170 / 10000
Epoch 54: 9023 / 10000
Epoch 55: 9162 / 10000
Epoch 56: 9061 / 10000
Epoch 57: 9066 / 10000
Epoch 58: 9177 / 10000
Epoch 59: 9170 / 10000
########################################

end accuracy      : 0.917
computation time  : 3:03:00
